"charName","Ship","damage","Class","Cargo","WeaponUpgr","ECM","Drugs","ExCargo","Commod","Drones","Analyzers","Warp Speed","Speed","Maneuverability","Size","WeaponSize","DroneBay","Defence","LockSpeed","CPU","Power","Power bank","CapRecharge","RegionName","borderSys","fringesys","CorridorSys","hubSys","internationalSys","regionalSys","constellationSys","SecurityStatus","Remote Reps","Remote Assistance","Armament","Mining","Scanning","SpeedMods","Ewar","CapPower","Cloack","Salvager","Warp Scrambler","Stasis Web","Cynosural Field","CovOpsCloack","Covert Cyno","MWD","AB","DUST","Clothes","Deployb","SleepSalv","Structure","Implant","Blueprint","Energy Destabilizer","Capacitor Booster","Ice Product","Interdiction Probe","Shield Extender","Shield Booster","Sresist","Repper","CargoVolume","Aresist","NofGates","N Attackers","Mic Security","Average Security","KilledBy","KilledByType","Frigates","Cruisers","Battleships","Industrials","Titans","Roockie Ships","Assault Ship","Heavy AS","Deep Space Transports","BattleCruisers","Destroyers","MiningBarges","Dreadnoughts","Interdictors","CommandShips","Exhumers","Interceptor","Logistics","Force Recon","Bomber","E - War","Heavy Interdictor","Black Ops","Marauder","Combat Recon Ship","Attack Battlecruiser","Blockade Runner","CovOps","Sit"
"Sandy Enema                                       ","Manticore",2516,"Stealth Bomber",185.0,0,0,0,0,0,0,0,5.5,256.0,17.5896915964193,39.0,1.0,0.0,385.125,375.0,328.0,38.0,268.75,1.25,"The Kalevala Expanse",1,0,0,1,0,0,1,-0.758105581,0,0,3,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,369.6,0,3,4,-2.588015,0.52799625,"650mm Artillery Cannon II","Projectile Weapon",0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cloacky"
"Hawk Crimson                                      ","Sleipnir",47786,"Command Ship",475.0,1,0,0,0,0,0,0,2.75,165.0,11.097301136363637,240.0,2.0,25.0,3836.25,220.0,475.0,1300.0,2625.0,4.499996785716581,"The Kalevala Expanse",1,0,0,1,0,0,1,-0.758105581,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,451.5,0,3,8,-2.6,0.757644875,"800mm Repeating Cannon II","Projectile Weapon",0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"Sojurn Turnith                                    ","Brutix",37289,"Combat Battlecruiser",475.0,2,0,0,0,0,5,0,2.5,155.0,11.363636363636363,305.0,2.0,50.0,5575.0,200.0,435.0,1125.0,3000.0,3.802281368821293,"F-R00030",0,0,0,0,0,0,0,-0.99,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,359.675,0,0,4,1.0,3.22985225,"Limited Mega Ion Siege Blaster I","Hybrid Weapon",0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"PvP Generic"
"Seth Bronkskin                                    ","Chimera",450866,"Carrier",870.0,0,0,0,0,0,0,0,1.5,65.0,2.1528154520481886,3065.0,4.0,80000.0,158125.0,45.0,825.0,450000.0,56250.0,14.416666666837532,"C-R00012",0,0,0,0,0,0,0,-0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,0,0,42,-1.1,1.6559188095238093,"Small Focused Pulse Laser II","Energy Weapon",10,2,6,8,0,2,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,0,0,0,2,0,0,"Other"
"Captain Helsing                                   ","Rupture",18541,"Cruiser",450.0,4,0,0,0,0,0,0,3.0,210.0,16.39344262295082,125.0,2.0,30.0,2302.5,290.0,350.0,860.0,1275.0,3.0,"Black Rise",0,0,0,0,0,0,0,0.2742577740469258,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,339.1,0,5,28,-10.0,-2.4974041714285704,"Hobgoblin II","Combat Drone",8,0,0,0,0,0,4,0,0,0,6,0,0,1,0,0,5,0,0,3,0,0,0,0,0,0,0,0,"PvP Generic"
"Zaphod Ormand                                     ","Proteus",14994,"Strategic Cruiser",0.0,0,0,0,0,0,27,0,3.0,10.0,42.55246719204779,150.0,2.0,0.0,200.0,0.0,0.0,0.0,100.0,10.0,"B-R00006",0,0,0,0,0,0,0,-0.99,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,1804.2750000000005,6,0,6,1.463962,2.431981,"Heavy Neutron Blaster II","Hybrid Weapon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other"
,"Iteron Mark V",1928,"Industrial",5800.0,0,0,0,5,0,0,0,3.0,105.0,8.514261387824606,220.0,2.0,0.0,830.25,55.0,270.0,85.0,650.0,1.5615615615615615,"B-R00006",0,0,0,0,0,0,0,-0.99,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,426,0,0,0,0,0,13408.8,0,0,1,3.436197,3.436197,"Heavy Neutron Blaster II","Hybrid Weapon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hauling"
"Raines Antollare                                  ","Retriever",5638,"Mining Barge",450.0,0,2,0,6,10,0,0,3.0,80.0,7.59013282732448,250.0,2.0,25.0,2815.0,660.0,235.0,35.0,250.0,1.3333333333333333,"Sinq Laison",1,0,0,1,0,0,1,0.4608890986323466,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25152.62,0,4,2,0.2627516,0.2627516,"Modal Light Neutron Particle Accelerator I","Hybrid Weapon",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mining"
"GaiusAlexander                                    ","Tayra",3772,"Industrial",7300.0,0,4,0,3,939,22,0,3.0,115.0,7.930214115781126,230.0,2.0,0.0,1168.75,50.0,320.0,80.0,625.0,1.8050541516245489,"The Citadel",1,0,0,1,0,0,1,0.5505319070318379,0,0,9,0,1,1,2,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,10,2,10,0,9277.825000000003,0,4,1,-2.220118,-2.220118,"250mm Railgun II","Hybrid Weapon",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hauling"
"DeGaspa                                           ","Augoror",6621,"Cruiser",465.0,1,0,0,0,0,4,0,3.0,210.0,13.705388958938652,90.0,2.0,20.0,1838.75,300.0,275.0,650.0,1500.0,5.0,"Essence",1,0,0,1,1,1,1,0.5930926592289999,2,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,205.425,1,4,3,-0.9,-0.06666666666666665,"Heavy Ion Blaster II","Hybrid Weapon",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"PvP Generic"
"Zhana Huren                                       ","Enyo",3736,"Assault Frigate",165.0,2,0,0,0,0,0,0,5.5,288.0,21.776085398490167,37.0,1.0,5.0,605.428125,625.0,155.0,50.0,343.75,1.8333333333333333,"Placid",1,0,0,1,0,0,1,0.289309115052423,0,0,10,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,151.08749999999998,2,4,2,-9.980545,-5.1902725,"Hobgoblin II","Combat Drone",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvP Generic"
"Kelly Columbus                                    ","Tayra",3607,"Industrial",7300.0,0,0,0,12,0,0,0,3.0,115.0,7.930214115781126,230.0,2.0,0.0,1168.75,50.0,320.0,80.0,625.0,1.8050541516245489,"E-R00024",0,0,0,0,0,0,0,-0.99,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,721140.0,0,0,9,-2.049979,0.9500069999999999,"Dread Guristas Mjolnir Torpedo","Torpedo",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"Hauling"
"Robopleasure                                      ","Daredevil",5511,"Frigate",140.0,0,0,0,0,0,0,0,5.0,384.0,37.72913611785677,35.0,1.0,0.0,782.175,650.0,145.0,35.0,395.0,1.6853333333333333,"Placid",1,0,0,1,0,0,1,0.1726206117578859,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71.4375,0,6,3,-9.988909,-6.662969666666666,"Light Neutron Blaster II","Hybrid Weapon",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvP Generic"
"Borgulas Loamsdown                                ","Vagabond",6062,"Heavy Assault Cruiser",360.0,2,0,0,0,0,5,0,3.3,295.0,17.119300984702193,115.0,2.0,25.0,1513.75,330.0,400.0,900.0,1200.0,4.8979591836734695,"Syndicate",0,0,1,0,0,0,0,-0.03189846888245951,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,238.25,0,2,2,2.142639,3.5713195,"Inferno Fury Light Missile","Advanced Light Missile",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"PvP Generic"
"Nordika                                           ","Vexor",10819,"Cruiser",480.0,2,0,0,0,0,0,0,3.0,205.0,16.682515055969837,145.0,2.0,125.0,2147.5,280.0,300.0,800.0,1450.0,3.005181347150259,"Sinq Laison",0,0,1,0,0,0,0,0.5404728012904352,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,131.14999999999998,0,3,3,0.029836,0.576612,"250mm Carbide Railgun I","Hybrid Weapon",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvP Generic"
"HypoConDreAct                                     ","Rook",11355,"Combat Recon Ship",305.0,1,3,0,0,0,5,0,3.3,170.0,12.82000741637429,173.0,2.0,25.0,1468.15,259.0,600.0,600.0,1062.5,3.090909090909091,"D-R00021",0,0,0,0,0,0,0,-0.99,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,471.32499999999993,0,0,4,-1.3,0.159673275,"Hammerhead II","Combat Drone",0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"E-War"
"Alexandre Auditore                                ","Atron",1347,"Frigate",145.0,1,0,0,0,0,0,0,5.0,420.0,34.01360544217687,35.0,1.0,0.0,453.75,900.0,147.0,37.0,330.0,2.0,"Black Rise",0,0,0,0,0,0,0,0.338464408401388,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.205,0,5,4,-10.0,-6.54760025,"Light Neutron Blaster II","Hybrid Weapon",3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvP Generic"
"ErDarwing                                         ","Dominix",42677,"Battleship",600.0,2,1,0,0,16,25,0,2.0,109.0,7.954595170765271,465.0,3.0,375.0,10620.0,90.0,600.0,10000.0,6000.0,5.454545454545455,"C-R00011",0,0,0,0,0,0,0,-0.99,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,1162.9599999999998,2,0,3,-5.640369,-2.280123,"Scourge Rage Torpedo","Advanced Torpedo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Scanning"
"Liam Spikes                                       ","Rifter",1987,"Frigate",140.0,1,0,0,0,2,2,0,5.0,355.0,29.37953362928317,35.0,1.0,0.0,630.0,660.0,125.0,38.0,250.0,2.0,"Black Rise",0,0,0,0,0,0,0,0.338464408401388,0,0,9,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,153.58,0,5,4,-10.0,-6.54923875,"150mm Railgun II","Hybrid Weapon",3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvP Generic"
"Samatka                                           ","Hawk",2965,"Assault Frigate",300.0,0,0,0,0,15,0,0,5.5,273.0,21.80713075730059,39.0,1.0,0.0,652.534375,575.0,190.0,45.0,312.5,1.6666666666666667,"Genesis",1,0,1,0,1,1,1,0.8454829968182656,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,213.82,0,4,2,0.0,1.59376,"200mm AutoCannon II","Projectile Weapon",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvP Generic"
"Skully                                            ","Wolf",3387,"Assault Frigate",165.0,2,0,0,0,0,0,0,5.5,329.0,22.104801516566223,33.0,1.0,0.0,653.0562500000001,700.0,135.0,48.0,275.0,1.4666666666666668,"Black Rise",0,0,0,0,0,0,0,0.3427550899386341,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,176.02000000000004,6,4,19,-10.0,0.7413283684210527,"280mm Howitzer Artillery II","Projectile Weapon",7,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,"PvP Generic"
"S J Huether                                       ","Wolf",3395,"Assault Frigate",165.0,1,0,0,0,0,0,0,5.5,329.0,22.104801516566223,33.0,1.0,0.0,653.0562500000001,700.0,135.0,48.0,275.0,1.4666666666666668,"Black Rise",0,0,0,0,0,0,0,0.3427550899386341,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,152.0,6,4,10,-0.5,2.3288683000000003,"Caldari Navy Inferno Rocket","Rocket",2,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvP Generic"
"Mart Kong                                         ","Retribution",3931,"Assault Frigate",135.0,2,0,0,0,0,0,0,5.5,278.0,20.687281128565658,35.0,1.0,0.0,701.4687499999999,650.0,140.0,56.0,437.5,2.3333333333333335,"Black Rise",0,0,0,0,0,0,0,0.3427550899386341,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.39999999999998,4,4,15,-5.384925,0.7343383333333333,"250mm Light Artillery Cannon II","Projectile Weapon",6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"PvP Generic"
"CASIO BRIAN                                       ","Federation Navy Comet",4781,"Frigate",145.0,0,0,0,0,0,0,0,5.0,375.0,32.884460448215194,42.0,1.0,30.0,889.375,650.0,160.0,40.0,400.0,2.0,"Placid",1,0,0,1,0,0,1,0.1889457516566993,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,164.035,1,3,5,-0.6,2.10205498,"Caldari Navy Inferno Light Missile","Light Missile",1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvP Generic"
"Sheldin89                                         ","Stabber Fleet Issue",25372,"Cruiser",450.0,0,0,0,0,0,0,0,3.0,250.0,19.893965165666994,100.0,2.0,40.0,3453.75,305.0,310.0,950.0,1275.0,3.0,"Solitude",0,1,0,0,0,0,0,0.2623535382010558,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,334.5625,0,1,2,4.5514,4.6257,"Hammerhead II","Combat Drone",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvP Generic"
"Phoenix ZA                                        ","Drake",24723,"Combat Battlecruiser",450.0,1,0,0,0,0,0,0,2.5,140.0,10.550303848750843,295.0,2.0,25.0,6000.0,195.0,500.0,800.0,2500.0,3.7999696002431977,"C-R00015",0,0,0,0,0,0,0,-0.99,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,225.07,0,0,5,-1.8,1.0798147999999999,"Heavy Neutron Blaster II","Hybrid Weapon",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"PvP Generic"
"danpoca13 triff                                   ","Heron",885,"Frigate",400.0,0,0,0,0,148,0,0,5.0,340.0,24.357569114602363,40.0,1.0,35.0,425.0,430.0,260.0,24.0,245.0,1.8148148148148149,"Placid",1,0,1,0,0,0,1,0.3384160537741685,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268.82,0,2,1,-10.0,-10.0,"Imperial Navy Large EMP Smartbomb","Smart Bomb",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scanning"
"Kaama Massel                                      ","Fenrir",151182,"Freighter",720000.0,0,0,0,35,0,0,0,1.37,80.0,1.951219512195122,3385.0,,0.0,18421.875,0.0,1.0,1.0,3000.0,16.235523325035178,"Kor-Azor",1,0,0,1,0,0,1,0.2170825545994035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,0,0,1925735.0,0,3,2,4.9,4.911410500000001,"Hammerhead II","Combat Drone",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hauling"
"ragemind                                          ","Catalyst",2893,"Destroyer",450.0,2,0,0,0,0,4,0,4.5,265.0,23.37540906965872,68.0,1.0,0.0,1083.75,500.0,178.0,70.0,650.0,1.8571428571428572,"Derelik",1,0,0,1,0,0,1,0.293932972095294,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.33999999999997,0,4,20,-2.3,1.0306951,"150mm Railgun II","Hybrid Weapon",1,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvP Generic"
"Sirius GO                                         ","Retriever",6465,"Mining Barge",450.0,0,0,0,0,0,0,0,3.0,80.0,7.59013282732448,250.0,2.0,25.0,2815.0,660.0,235.0,35.0,250.0,1.3333333333333333,"Lonetrek",0,1,0,0,0,0,0,0.5167338461520279,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.0,0,1,1,-2.614578,-2.614578,"Light Neutron Blaster II","Hybrid Weapon",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mining"
"Nani Solette                                      ","Thorax",9873,"Cruiser",465.0,1,0,0,0,0,0,0,3.0,240.0,18.092343320306846,120.0,2.0,50.0,1950.0,280.0,330.0,820.0,1450.0,2.8046421663442938,"Syndicate",1,0,0,1,1,1,1,-0.03454826133219657,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,433.06250000000006,1,5,29,-3.8,1.4148513448275861,"Small Focused Pulse Laser II","Energy Weapon",13,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,3,0,0,8,1,0,0,0,0,0,0,0,"PvP Generic"
"Viper Starrunner                                  ","Myrmidon",21361,"Combat Battlecruiser",400.0,0,0,0,0,0,10,0,2.5,145.0,10.843164469118667,305.0,2.0,200.0,5575.0,200.0,400.0,1050.0,2850.0,3.8,"Domain",1,0,0,1,0,1,1,1.0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,645.8124999999999,2,6,10,-1.6,0.6605661,"Modal Electron Particle Accelerator I","Hybrid Weapon",2,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"PvP Generic"
"Wolfsab                                           ","Hulk",3997,"Exhumer",350.0,0,0,0,2,0,0,0,3.3,70.0,5.610098176718092,150.0,2.0,50.0,2810.0,660.0,300.0,35.0,625.0,3.3333333333333335,"Domain",1,0,0,1,0,0,1,0.8737715496022969,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15583.300000000001,0,4,1,-10.0,-10.0,"1400mm Gallium Cannon","Projectile Weapon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Hauling"
"Kayto Shahni                                      ","Imperial Navy Slicer",1972,"Frigate",130.0,0,0,0,0,0,0,0,5.0,350.0,30.212393123659325,38.0,1.0,0.0,888.125,675.0,125.0,50.0,500.0,2.0,"Domain",1,0,0,1,0,1,1,1.0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.03,0,6,1,-0.9020333,-0.9020333,"Light Neutron Blaster II","Hybrid Weapon",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvP Generic"
"Irina Zwara                                       ","Anathema",1481,"Covert Ops",190.0,0,0,0,0,3,0,0,8.0,282.0,17.829030296871185,47.0,1.0,0.0,638.5999999999999,435.0,280.0,20.0,250.0,1.3333333333333333,"Metropolis",0,0,0,1,0,0,0,0.1647438814508468,0,0,0,0,3,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.10999999999999,0,4,1,-3.955282,-3.955282,"Light Neutron Blaster II","Hybrid Weapon",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scanning"
"Cornielius Rex                                    ","Rifter",3324,"Frigate",140.0,0,0,0,0,0,0,0,5.0,355.0,29.37953362928317,35.0,1.0,0.0,630.0,660.0,125.0,38.0,250.0,2.0,"The Citadel",0,0,1,0,0,0,0,0.4143776905288217,0,0,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86.0175,1,2,1,-4.302288,-4.302288,"Light Ion Blaster II","Hybrid Weapon",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvE"
"BB MICK                                           ","Rifter",7059,"Frigate",140.0,0,0,0,0,0,0,0,5.0,355.0,29.37953362928317,35.0,1.0,0.0,630.0,660.0,125.0,38.0,250.0,2.0,"The Forge",1,0,0,1,0,1,1,0.9459131166648389,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76.62249999999999,0,7,1,-1.144844,-1.144844,"150mm Light AutoCannon II","Projectile Weapon",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvP Generic"
"Roganium                                          ","Heron",895,"Frigate",400.0,0,0,0,0,78,0,0,5.0,340.0,24.357569114602363,40.0,1.0,35.0,425.0,430.0,260.0,24.0,245.0,1.8148148148148149,"Lonetrek",1,0,0,1,0,0,1,0.4169539116597136,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,203.81,0,3,1,-9.680097,-9.680097,"Imperial Navy Large EMP Smartbomb","Smart Bomb",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scanning"
"Deth Rosen                                        ","Retribution",18581,"Assault Frigate",135.0,1,0,0,0,0,0,0,5.5,278.0,20.687281128565658,35.0,1.0,0.0,701.4687499999999,650.0,140.0,56.0,437.5,2.3333333333333335,"Placid",0,0,0,1,0,0,0,0.4042517303373593,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,109.0,0,4,2,-2.1445,0.57775,"Guristas Scourge Heavy Assault Missile","Heavy Assault Missile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvP Generic"
"Daneel Trevize                                    ","Burst",2985,"Frigate",260.0,0,0,0,0,0,3,0,5.0,335.0,19.837333862328904,33.0,1.0,5.0,458.75,925.0,205.0,40.0,370.0,2.0,"Curse",0,0,0,1,0,0,0,-0.02210073035524685,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,85.0,0,3,11,0.3,3.645454545454545,"720mm Howitzer Artillery II","Projectile Weapon",0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Logi"
"lt hanne                                          ","Impairor",595,"Rookie ship",115.0,0,0,0,0,0,0,0,3.0,300.0,19.574834592647694,50.0,,5.0,225.625,485.0,95.0,24.0,140.0,2.0,"Providence",0,0,1,0,0,0,0,-0.08545441538372356,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.01,0,2,1,5.01307,5.01307,"150mm Light AutoCannon II","Projectile Weapon",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvE"
"Ullus Demos                                       ","Thorax",10188,"Cruiser",465.0,2,0,0,0,0,0,0,3.0,240.0,18.092343320306846,120.0,2.0,50.0,1950.0,280.0,330.0,820.0,1450.0,2.8046421663442938,"Essence",1,0,0,1,0,0,1,0.3066251979101813,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,246.6875,0,6,3,-6.559945,-5.819981666666667,"Hammerhead II","Combat Drone",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvP Generic"
"MrLogik                                           ","Enyo",4767,"Assault Frigate",165.0,0,0,0,0,0,1,0,5.5,288.0,21.776085398490167,37.0,1.0,5.0,605.428125,625.0,155.0,50.0,343.75,1.8333333333333333,"Essence",0,0,1,0,0,0,0,0.3356865888245387,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,205.985,1,3,4,-2.8,-1.8398147249999999,"425mm AutoCannon II","Projectile Weapon",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"PvP Generic"
